Haber Başlığı,Kategori
"Darüşşafaka Cemiyeti, Türkiye İş Bankası 46. İstanbul Maratonu’nda bağış yaparak öğrencilerin eğitimine, katkı sağlayan koşucuları, kurumları ve takımları düzenlediği törenle onurlandırdı.",Moda
"Darüşşafaka Cemiyeti, 2023 Yılı Entegre Raporu ile MarCom Awards’ta başvurduğu 6 kategorinin tamamında “Platinum” ödüllerine layık görüldü.",Moda
"Kalyon Holding Sosyal ve Kültürel İşler Komitesi Başkanı Reyhan Kalyoncu, Kalyon Vakfı desteği ile “Kalahari Augrabies Ekstrem Maratonu”nda depremzede çocuklar için koşan ülkemizin ilk kadın ultra maraton koşucusu Bakiye Duran ile Adıyaman’da depremzede çocuklarla buluştu.",Moda
"Gaziantep Büyükşehir Belediye Başkanı Fatma Şahin, GastroANTEP Kültür Yolu Festivali'nin açılış programında yaptığı konuşmada Gazi şehrin bölgenin kaldıracı ve destinasyonu olduğunu vurgulayarak, bölgedeki tüm şehirlerle beraber bölgesel kalkınmanın önemini aktardı.",Moda
"Antik Yunan’dan modern zamanlara kadar çeşitli spor dallarına ait oyuncaklarla spor ve oyuncak tarihini ilk kez bir araya getiren sergi, 31 Ağustos’a kadar İstanbul Oyuncak Müzesi’nde ziyaretçilerini ağırlamaya devam edecek.",Moda
"El ve vücut bakım markası Vaseline, yeni ürününü özel bir etkinlikle tanıttı.",Moda
"Milliyet Arkeoloji dergisi, 21 Temmuz Pazar günü yayımlanacak 39. sayısında Teos Antik Kenti’ni mercek altına alıyor. Dergide ayrıca 13 yıl süren restorasyonun ardından bir müzeyle birlikte ziyarete açılan Çinili Hamam, Antik Dönem olimpiyatları ve stadyumların evrimi de inceleniyor.",Moda
3-7 Temmuz tarihleri arasında Bodrum Herodot Kültür Merkezi’nde DEMOS Fuarcılık A.Ş. tarafından düzenlenen Bodrum Art Fair kapılarını sanatseverlere açtı.,Moda
Haziran ayının gelmesiyle birlikte başlayan bunaltıcı sıcaklar hemen herkese 'Ne giysem' diye düşündürmeye başladı. Terletecek tek bir zerrenin bile üstümüzde bulunmasını istemediğimiz bu günlerde tercih edeceğiniz kumaş gününüzün seyrini değiştirebilir. İşte serinletme etkisi veren kumaşlar.,Moda
"31. İstanbul Caz Festivali kapsamında düzenlenecek Garanti BBVA Caz Sohbetleri, 28 Mayıs’ta düzenlenecek Türkiye’de Cazın Tarihini Yazan Kadınlar: Sibel Köse, Hülya Tunçağ, Füsun Levet söyleşisiyle sona eriyor.",Moda
"Milliyet Arkeoloji dergisi, 19 Mayıs Pazar günü yayımlanacak 37. sayısında Patara Deniz Feneri’ni ve yeniden ayağa kaldırılış hikâyesini mercek altına alıyor.",Moda
"Küresel masallar, toplumda farkındalık yaratmak amacıyla yeniden yorumlandı.",Moda
"Küratörlüğünü Haldun Demirhisar’ın yaptığı, Bosphorus Art Society (B.A.S.) tarafından düzenlenen, Boğaziçi temalı Art Show, Kültür ve Turizm Bakanı Mehmet Ersoy ile iş ve sanat dünyasından çok sayıda tanınmış ismin katılımıyla gerçekleşti.",Moda
"Limak Şirketler Grubu’nun, STEM alanlarında kadın istihdamını artırmayı amaçlayan ve ülke sınırlarını aşarak küresel bir sosyal etki hareketine dönüşen projesi Global Engineer Girls (GEG) 10-12 Mayıs tarihleri arasında Kosova, Kuzey Makedonya, Suudi Arabistan ve Türkiye'nin farklı şehirlerinden gelen mühendis kızları İstanbul’da ağırlayacak.",Moda
"Moda sektörünün vazgeçilmez parçalarından olan kot pantolonlar çeşitli modellerde satışa sunuluyor ve farklı stillerde kombinlenebiliyor. Bir marka için oluşturulan yeni koleksiyonun parçası olan kot pantolon ise pek çok kişiyi şaşırttı. Altını ıslatmış gibi gösterdiği düşünülen kot pantolon, 26 bin liraya satıldı. İşte detaylar.",Moda
"Istanbul Modest Fashion Week 2024, 25-26-27 Nisan 2024 tarihlerinde, Fişekhane-Galeri’de düzenlenecek.",Moda
"1979’dan beri bünyesinde Emmy ödüllerini de bulunduran Television Academy Foundation tarafından düzenlenen College Television Awards’da Kaan Berkant, yapımcılığı üstlendiği Slobopoly ile en iyi komedi ödülüne layık görüldü.",Moda
"Dijital mecralar ve uygulamalar üzerinden yaratıcılık ve iş sonuçları ile reklamların değerlendirildiği ve ödüllendirildiği MIXX Awards Türkiye, İnteraktif Reklamcılık Derneği (IAB) tarafından on dördüncü kez düzenlendi. Rahmi Koç Müzesi’nde gerçekleştirilen ödül törenine, reklamveren markalar, yayıncı mecralar ve reklam ajansları ile sektör kuruluşlarının temsilcilerinin yanı sıra IAB Kurucu Başkanı Ahmet Pura, IAB Europe Yönetim Kurulu Başkanı Thomas Duhr ve IAB Europe Onursal Başkanı Constantin Kamaras da katıldı.",Moda
"2021 yılında başlattığı sanat projesi ile sanata ve sanatçılara özel alan açtığını duyuran e-ticaret platformu Trendyol, 15 Nisan Dünya Sanat Günü’nde sanatseverleri bağımsız sanatçıları yakından tanımaya ve eserlerini incelemeye davet etti.",Moda
"İnteraktif Reklamcılık Derneği (IAB), bu sene 14’üncüsünü düzenlediği MIXX Awards Türkiye yarışmasında 'Sürdürülebilirlik Kampanyaları' kategorisini hayata geçirdiğini duyurdu.",Moda
"Bu yıl, altı farklı kategoride; “Purpose Driven Marketing”, “Marketing Impact”, “Impact Media”, “Emerging Tech Marketing”, “E-commerce Marketing” ve “Creative alanlarında başvuruların alındığı  SMARTIES™ X Global 2023 Ödülleri'nin kazananlarını açıkladı.",Moda
"Sıcak tutan kazaklar, hafif elbiseler, en sevdiğimiz atletik taytlar, şekillendirici iç çamaşırları...Güzel ve rahat görünmelerine rağmen hem cildiniz hem de genel sağlığınız için tehlikeli olduklarını söylesek... İşte içeriğindeki kimyasallar sebebiyle cilt düşmanı olan 5 kumaş türü.",Moda
İlki İstanbul’da 2 yıl önce açılan Türk Müziği Müzesi’nin ikincisi Arap Müziği Müzesi adıyla Dubai’de Türk firması Outdoor Factory tarafından hayata geçirildi.  Emaar Entertainment LLC için tasarım ve uygulaması yapılan proje Orta Doğu’da ilk olma özelliği taşıyor.,Moda
"Evlenmek bir yandan çok heyecan verici bir an, öte yandan ise son derece stresli bir durum. Bu nedenle yapılacaklar listenizdekleri takip ederken, bazı şeyleri gözden kaçırmanız çok olası. Haberimizde, büyük güne hazırlık aşamasında aklınızda bulundurmanız ve farkında olmanız gerekenleri bulacaksınız.",Moda
"Düz tabanlı babetlere bir trend demek az kalır. Bunun yerine bir ikon desek daha yerinde olur. Ayakkabı dolabımızın en zamansız, en zarif ve en kurtarıcı çiftlerinden olan babetler, özellikle içinde bulunduğumuz bahar aylarında moda kızlarının ayağından hiç düşmedi. Önümüzdeki birkaç aya damga vuracağına da şüphe yok. - PEMBENAR ÖZEL",Moda
"Düz fönler, plaj dalgaları, atkuyruğu, örgüler, topuzlar... Hepsini ezberledik ancak yaz biraz daha renk ve aksesuar istemiyor mu? Saçları için havalı ve çabasız stiller arayanlar için rengarenk fularlar yeni sezonda kombinlere eşlik ediyor. Fularların çok yönlü kullanımı, sizinle her yere gidebilir olmaları ve en basit kombini bile anında yükseltebiliyor olması onları vazgeçilmez bir aksesuar yapıyor. Sizin için derlediğimiz fular bağlama tekniklerini gördükten sonra sizin de bu yaz vazgeçilmeziniz olacak! - PEMBENAR ÖZEL",Moda
"Müzik ve moda dünyasının duayenleri özel giyilebilir sanat koleksiyonu için güçlerini birleştirdi. Mercan Dede’nin 3 farklı tablosu, Arzu Kaprol kaftan, ipek baskılar ve fularlarda hayat buldu.",Moda
"Neredeyse 40 yılı aşkın bir süredir modayla ilgilenenlerin kelime dağarcığına 'kapsül gardırop' ifadesi yerleşti. ""Kapsül gardırop oluşturarak satın alma davranışları değiştirilebiliyor. Kapsül gardıropların temel ve yan giysi parçalarıyla birlikte 30-40 parçadan daha yukarı çıkmaması önemli"" diyen Moda ve Tekstil Tasarımı Uzmanı Dr. Öğr. Üyesi Havva Gülçin Üstün, kapsül gardırop oluşturmanın püf noktalarını da açıkladı.",Moda
"Vogue Eyewear, göz alıcı yeni marka elçisi ve kreatif ortağı olan moda perisi, model Hailey Bieber ile yeni bir sezonun başlangıcını kutluyor. Hailey ile iş birliği içerisinde tasarlanan koleksiyonun ilk modelleri, otantik güzellik ile şöhret stilini bir araya getiriyor ve bu özel ortaklık ile kampanyayı beğenilerinize sunuyor.",Moda
"Giyim markası Kiğılı, İtalya’nın moda kenti Milano’da gerçekleştirilen Sì Sposaitalia Collezioni Milano Bridal Week’te tek Türk markası olarak podyumdaki yerini aldı.",Moda
"Pedikürler yapılsın, sandalet mevsimi artık kapıda! Aylarca yünlü çorapların ve deri çizmelerin içinde ayaklarımızı sakladıktan sonra artık nefes alma vakti. Peki 2022 yaz sezonuna hangi sandalet modelleri damga vuracak? İşte bu yaz her yerde göreceğiniz 2022 yaz sandalet trendleri! - PEMBENAR ÖZEL",Moda
"Tommy Hilfiger, 2022 İlkbahar Koleksiyonu’nu Tommy Hilfiger Mayadrom Showroom’da düzenlenen bir davetle tanıttı. Etkinlikte, Tommy Hilfiger Kadın, Tommy Hilfiger Erkek, Tommy Hilfiger Jeans, Tommy Hilfiger Icons, Tommy Hilfiger Ayakkabı ve Aksesuar koleksiyonları tanıtıldı.",Moda
"ModaTasarımcısı Murat Aytulum’un 34 çok özel parçadan oluşan FW22/23 koleksiyonu ‘”GEN” 16 Mart Çarşamba günü, Fashion Week Istanbul ev sahipliğinde Soho House Istanbul’da yapılan dijital defile ile izleyicilerle buluştu.",Moda
"Tarih hep tekerrürden ibaret, dün başkasıydı giden, bugün bir başkası... Asıl şimdi bambaşka bir hikaye yazmalı diğerlerinden farklı. Gidenleri anarak, gitmemek için and içmeye SON ÇAĞRI.",Moda
"2015 yılında mezun olduğu İstanbul Moda Akademisi’nin düzenlediği karma defile ile moda haftasında yer alarak profesyonel tasarımcılık hayatına başlayan Sezgi Tüzel, 2022-23 Sonbahar-Kış “The Other” koleksiyonunda kadın ve erkeğin birlikteliğinin yarattığı güçten yararlanıyor.",Moda
"2012’de kurulmuş olan İstanbul asıllı DB BERDAN, çevreye duyarlı ve yenilikçi Londra tabanlı bir marka olarak tanımlanıyor. Hiper sokak stilinin öncüsü olan DB BERDAN, hikayeleri kendi yaklaşımlarıyla anlatmayı seven bir tasarım markası. Sokak stilini aktif giyimle birleştiren DB BERDAN, modayı takip eden; ancak fonksiyonellikten ödün vermeyen kadınlara ithaf ediliyor.",Moda
"Hala pandemiden havalı etkinliklere geçişimizi tam olarak sağlayamamışken, bu geçiş dönemini bize rahat ve şık hissettiren parçalarla kurtarmak istiyoruz. Platform ayakkabı trendinin yükselişi de bunun bir sonucu olarak ortaya çıktı. Hem gündüz hem geceye uyum sağlayabilen, rahat ve şık olmasının yanı sıra romantik bir kaçış da yaratabilen Mary Jane platformlar havalı şehir kadınlarının 2022'deki ayakkabı tercihlerinde ilk sıralarda yer alacak.",Moda
"Türk tasarımcı Serdar Uzuntaş, Milano Erkek Moda Haftası’nda olimpik eskrim disiplininden ilham alan bir koleksiyonla yer aldı. Tasarımcı sürpriz yaparak ilk kez tasarladığı gözlük serisini de moda haftasında görücüye çıkarttı.",Moda
"2021 sonbahar/kış sezonuna şimdiden bazı ayakkabıların damga vurduğunu söylesek yanılmış olmayız. Klasikler, pratikler, iddialı stiller... 2021 sonbahar/kış sezonunda hepsi var. İşte hemen yatırım yapmanız gereken 2021 kış sezonunun en dikkat çeken ayakkabı trendleri! - PEMBENAR ÖZEL",Moda
Her zaman trendleri kovalayan bir modasever olsanız da bazen gardırobunuzu açtığınızda eliniz ne zaman satın aldığınızı bile hatırlamadığınız klasik parçalara gider ve bu parçalar sizi asla hayal kırıklığına uğratmaz. Bugün dersimiz klasiklerin sürdürülebilir bir moda anlayışındaki önemi ve modası geçmeyen klasik parçalar!,Moda
"Hırkalar yıllarca depresyon ""item""i olarak kullanılsa da ona sarıldığınızda verdiği sıcacık histen çok daha fazlasını yarabileceği pek çok moda gurusu tarafından kanıtlandı. Son iki yıldır sokak stilimizin vazgeçilmez bir parçası olmaya başaran hırkalar, ev-ofis stilinde de hayat kurtarıcı bir parça oldu. Biz de bu yüzden size hırkayla yapabileceğiniz kombin önerilerini derledik. Şimdi alın, bahar boyunca giyin. - PEMBENAR ÖZEL",Moda
"Güzel kıvrımlarınızı ve vücut şeklinizi vurgularken, zaten sahip olduğunuz parçaları ekleyerek veya yenilikçi bir şekilde vurgulayarak görünümünüzü yeniden keşfetmenin bazı yaratıcı yolları var. Kış tarzınızı tam teçhizata sokmaya hazırsanız kıvrımlı kadınlar için en iyi 8 kış kıyafetine göz atın. - PEMBENAR ÖZEL",Moda
"Akşam 7’den sabah 7’ye kendini şımartmayı ve özel hissetmeyi sevenlere adanmış olan Gece, ilk koleksiyonuyla gecenize peri tozu serpmeye geliyor.",Moda
"Nicolas Ghesquière sunumuyla Louis Vuitton İlkbahar/Yaz 2022 defilesi, katılımıyla Paris Moda Haftası kapsamında dün Louvre Müzesi'nde gerçekleşti. İşte Louis Vuitton İlkbahar/Yaz 2022 defilesinde öne çıkanlar!",Moda
"Chanel, nostaljik ve neşeli bir defileyle İlkbahar/Yaz 2022 koleksiyonunu bugün Paris'te tanıttı. Pandemi sonrası ilk kez seyircilerin katılımıyla gerçekleşen Chanel defilesinde modeller, İlkbahar/Yaz 2022 koleksiyonunu gülücükler ve öpücükler saçarak tanıttı. - PEMBENAR ÖZEL",Moda
"Donatella Versace, yine Milan Moda Haftası'na damgasını vurmadan duramadı. Donatella'nın yeni ilham perisi Dua Lipa'nın İlkbahar/Yaz 2022 şovunu açıp kapaması ve şova eşlik eden süpermodel ordusu Versace'ye yakışır muhteşem bir koleksiyona eşlik etti. İşte Versace'nin yıldız geçidi İlkbahar/Yaz 2022 defilesinde öne çıkanlar! - PEMBENAR ÖZEL",Moda
"Alberta Ferretti, yeniden doğuşu simgeleyen İlkbahar/Yaz 2022 sezonu için hazırladığı koleksiyonunu dün Milan Moda Haftası kapsamında sergiledi. İşte Alberta Ferretti İlkbahar/Yaz 2022 koleksiyonunda öne çıkan detaylar! - PEMBENAR ÖZEL",Moda
"İki karantina arasında Fendi'nin sanat yönetmeni olarak atanan ve ilk koleksiyonlarını dijital ortamda sunmak zorunda kalan Kim Jones, ilk canlı şovunu dün Milan Moda Haftası kapsamında gerçekleştirdi. İşte Fendi İlkbahar/Yaz 2022 koleksiyonu hakkında bilmeniz gerekenler! - PEMBENAR ÖZEL",Moda
"Tom Ford, payet, saten ve ışıltı ağırlıklı İlkbahar/Yaz 2022 koleksiyonuyla New York Moda Haftası'na ihtişam kattı. İşte Tom Ford İlkbahar/Yaz 2022 koleksiyonu hakkında bilmeniz gereken 5 şey! - PEMBENAR ÖZEL",Moda
"Covid-19 pandemisinin moda markaları üzerindeki etkisi tasarımcıdan tasarımcıya büyük farklılıklar gösteriyor. Michael Kors'un İlkbahar/Yaz 2022 koleksiyonu için podyumlara dönüşü deyim yerindeyse muhteşem oldu. Kendall Jenner'ın açtığı defilede Gigi Hadid, Irina Shayk ve Vittoria Ceretti gibi ünlü süpermodeller boy gösterdi. İşte Michael Kors İlkbahar/Yaz 2022 defilesinden satır başları! - PEMBENAR ÖZEL",Moda
