Haber İsmi,Kategori
40 ton tekno atık ile 450 öğrenciye destek,Teknoloji
SpaceX'in Starship roketi 5. test uçuşunda başarılı iniş yaptı,Teknoloji
DENEYAP Makeathon Yarışmasında uzay keşfi heyecanı,Teknoloji
TEKNOFEST’te ödüller sahiplerini buluyor,Teknoloji
250 binden fazla öğrenciye ulaşan proje BM’de en başarılı örnek seçildi,Teknoloji
TEKNOFEST Adana için geri sayım başladı,Teknoloji
Tek tuşla 20 farklı kahve deneyimi,Teknoloji
"‘Tech Yol Dijital’ sloganıyla, Unichallenge Tech’te buluştular",Teknoloji
TEKNOFEST 2024’e yeni paydaş,Teknoloji
SpaceX'in Crew-9 misyonunun uzay yolculuğu başladı,Teknoloji
TEKNOFEST Drone Şampiyonası ikinci etabı Mersin’de başlıyor,Teknoloji
İnsansız Deniz Aracı Yarışması Final Süreci Başlıyor,Teknoloji
Reklam ve pazarlama iletişiminin yükselen trendleri IAB Connect’te ele alındı,Teknoloji
Instagram'dan 18 yaş altı kararı! Türkiye'de yeni dönem ocak ayında başlayacak,Teknoloji
Yine ‘en sevilen’ e-ticaret markası,Teknoloji
60 milyar dolarlık hisseyi geri alacak,Teknoloji
Amazon çalışanlarına ‘ofise dönün’ çağrısı,Teknoloji
Rus medyasına Meta ‘yasağı’,Teknoloji
Model Uydu Yarışmasında 165 takımdan 15'i finale kaldı,Teknoloji
İnsansız Su Altı Sistemleri Yarışma finalleri başlıyor,Teknoloji
TravelX Ideathon Yarışması final heyecanı başlıyor,Teknoloji
Yerel üreticileri dijital pazarda destekleyecek fikirler TEKNOFEST’te yarışacak,Teknoloji
TEKNOFEST 2024 Adana ziyaretçi kayıtları başladı!,Teknoloji
Dikey İnişli Roket Yarışması başlıyor,Teknoloji
‘3 katlı’ cep çıkardı,Teknoloji
Roket yarışmasında geri sayım başladı,Teknoloji
Ve iPhone 16 tanıtıldı! İşte merak edilen özellikleri ve fiyatı,Teknoloji
IFA 2024'te geleceğin mobilite stratejileri anlatıldı,Teknoloji
TEKNOFEST Akdeniz’de en iyiler belli oldu,Teknoloji
‘TahtApp’ az gören çocuklara ışık oluyor,Teknoloji
Antalya'da düzenlenen TEKNOFEST Akdeniz Teknoloji Yarışmaları Finalleri başladı,Teknoloji
Teknolojiyle okula dönüş,Teknoloji
Dijital ödeme araştırmasında ‘Fijital’ detayı,Teknoloji
E-ihracatın geleceği IGEXX Küresel E-İhracat Zirvesi’nde değerlendirildi,Teknoloji
TEKNOFEST Akdeniz Teknoloji Yarışmaları başlıyor,Teknoloji
TEKNOFEST Akdeniz Teknoloji Yarışmaları için online ziyaretçi kayıtları başladı,Teknoloji
Fintek girişimleri için yeni fırsat,Teknoloji
TEKNOFEST Tarımsal İKA Yarışması final heyecanı başlıyor,Teknoloji
Sürdürülebilirlik Hizmeti’nde Avrupa’nın en iyisi Türkiye’den,Teknoloji
TEKNOFEST Robotaksi Binek Otonom Araç Yarışması’nda final heyecanı başladı,Teknoloji
